x	y	erry
9.99E-01	1.58E-01	0.001
1.50E+00	1.55E-01	0.001
2.00E+00	1.52E-01	0.001
2.50E+00	1.47E-01	0.001
3.00E+00	1.45E-01	0.001
3.50E+00	1.42E-01	0.001
4.00E+00	1.38E-01	0.001
4.50E+00	1.35E-01	0.001
4.99E+00	1.32E-01	0.001
5.49E+00	1.29E-01	0.001
5.99E+00	1.26E-01	0.001
6.49E+00	1.23E-01	0.001
6.99E+00	1.20E-01	0.001
7.49E+00	1.17E-01	0.001
7.99E+00	1.14E-01	0.001
8.49E+00	1.11E-01	0.001
8.99E+00	1.08E-01	0.001
9.49E+00	1.05E-01	0.001
9.99E+00	1.03E-01	0.001
1.05E+01	1.00E-01	0.001
1.10E+01	9.74E-02	0.001
1.15E+01	9.46E-02	0.001
1.20E+01	9.20E-02	0.001
1.25E+01	8.84E-02	0.001
1.30E+01	8.64E-02	0.001
1.35E+01	8.36E-02	0.001
1.40E+01	8.14E-02	0.001
1.45E+01	7.86E-02	0.001
1.50E+01	7.58E-02	0.001
1.55E+01	7.38E-02	0.001
1.60E+01	7.17E-02	0.001
