x	y	erry
0.999	0.154	0.001
1.498	0.15	0.001
1.998	0.147	0.001
2.497	0.144	0.001
2.996	0.141	0.001
3.496	0.138	0.001
3.995	0.134	0.001
4.495	0.131	0.001
4.994	0.128	0.001
5.493	0.126	0.001
5.993	0.122	0.001
6.492	0.119	0.001
6.992	0.116	0.001
7.491	0.114	0.001
7.99	0.111	0.001
8.49	0.108	0.001
8.989	0.105	0.001
9.489	0.102	0.001
9.988	0.1	0.001
10.49	9.87E-02	0.001
10.99	9.41E-02	0.001
11.49	9.16E-02	0.001
11.99	8.82E-02	0.001
12.48	8.62E-02	0.001
12.98	8.37E-02	0.001
13.48	8.12E-02	0.001
13.98	7.87E-02	0.001
14.48	7.62E-02	0.001
14.98	7.39E-02	0.001
15.48	7.13E-02	0.001
15.98	6.89E-02	0.001
16.48	6.70E-02	0.001
