x	y	erry
0.00E+00	1.67E+01	0.0001
2.50E-01	1.63E+01	0.0001
5.00E-01	1.60E+01	0.0001
7.52E-01	1.57E+01	0.0001
1.00E+00	1.52E+01	0.0001
1.25E+00	1.52E+01	0.0001
1.50E+00	1.50E+01	0.0001
1.75E+00	1.48E+01	0.0001
2.00E+00	1.44E+01	0.0001
2.25E+00	1.44E+01	0.0001
2.50E+00	1.44E+01	0.0001
2.75E+00	1.42E+01	0.0001
3.00E+00	1.39E+01	0.0001
3.25E+00	1.38E+01	0.0001
3.50E+00	1.38E+01	0.0001
3.75E+00	1.32E+01	0.0001
4.00E+00	1.35E+01	0.0001
4.26E+00	1.31E+01	0.0001
4.51E+00	1.31E+01	0.0001
4.76E+00	1.29E+01	0.0001
5.01E+00	1.26E+01	0.0001
5.26E+00	1.26E+01	0.0001
5.51E+00	1.22E+01	0.0001
5.76E+00	1.20E+01	0.0001
6.01E+00	1.19E+01	0.0001
6.26E+00	1.18E+01	0.0001
6.51E+00	1.16E+01	0.0001
6.76E+00	1.15E+01	0.0001
7.01E+00	1.12E+01	0.0001
7.26E+00	1.12E+01	0.0001
7.51E+00	1.12E+01	0.0001
7.76E+00	1.10E+01	0.0001
8.01E+00	1.09E+01	0.0001
8.26E+00	1.06E+01	0.0001
8.51E+00	1.03E+01	0.0001
8.76E+00	1.03E+01	0.0001
9.01E+00	1.00E+01	0.0001
9.26E+00	9.85E+00	0.0001
9.51E+00	9.42E+00	0.0001
9.76E+00	9.42E+00	0.0001
1.00E+01	9.27E+00	0.0001
1.03E+01	9.13E+00	0.0001
1.05E+01	8.83E+00	0.0001
1.08E+01	8.84E+00	0.0001
1.10E+01	8.98E+00	0.0001
1.13E+01	8.84E+00	0.0001
1.15E+01	8.84E+00	0.0001
1.18E+01	8.83E+00	0.0001
1.20E+01	8.25E+00	0.0001
1.23E+01	7.97E+00	0.0001
1.25E+01	7.82E+00	0.0001
1.28E+01	7.67E+00	0.0001
1.30E+01	7.67E+00	0.0001
13.26	7.38E+00	0.0001
