x	y	erry
0.00E+00	1.64E-01	0.001
2.50E-01	1.63E-01	0.001
5.00E-01	1.62E-01	0.001
7.52E-01	1.60E-01	0.001
1.00E+00	1.06E+01	0.001
1.25E+00	1.57E-01	0.001
1.50E+00	1.54E-01	0.001
1.75E+00	1.53E-01	0.001
2.00E+00	1.51E-01	0.001
2.25E+00	1.49E-01	0.001
2.50E+00	1.47E-01	0.001
2.75E+00	1.45E-01	0.001
3.00E+00	1.44E-01	0.001
3.25E+00	1.42E-01	0.001
3.50E+00	1.41E-01	0.001
3.75E+00	1.40E-01	0.001
4.00E+00	1.38E-01	0.001
4.26E+00	1.36E-01	0.001
4.51E+00	1.35E-01	0.001
4.76E+00	1.32E-01	0.001
5.01E+00	1.30E-01	0.001
5.26E+00	1.28E-01	0.001
5.51E+00	1.27E-01	0.001
5.76E+00	1.27E-01	0.001
6.01E+00	1.25E-01	0.001
6.26E+00	1.24E-01	0.001
6.51E+00	1.21E-01	0.001
6.76E+00	1.19E-01	0.001
7.01E+00	1.18E-01	0.001
7.26E+00	1.17E-01	0.001
7.51E+00	1.15E-01	0.001
7.76E+00	1.13E-01	0.001
8.01E+00	1.12E-01	0.001
8.26E+00	1.11E-01	0.001
8.51E+00	1.09E-01	0.001
8.76E+00	1.07E-01	0.001
9.01E+00	1.07E-01	0.001
9.26E+00	1.05E-01	0.001
9.51E+00	1.04E-01	0.001
9.76E+00	1.02E-01	0.001
1.00E+01	1.01E-01	0.001
1.03E+01	9.96E-02	0.001
1.05E+01	9.79E-02	0.001
1.08E+01	9.72E-02	0.001
1.10E+01	9.60E-02	0.001
1.13E+01	9.41E-02	0.001
1.15E+01	9.39E-02	0.001
1.18E+01	9.20E-02	0.001
1.20E+01	8.91E-02	0.001
1.23E+01	8.91E-02	0.001
1.25E+01	8.75E-02	0.001
1.28E+01	8.55E-02	0.001
1.30E+01	8.48E-02	0.001
1.33E+01	8.34E-02	0.001
1.35E+01	8.15E-02	0.001
1.38E+01	8.15E-02	0.001
1.40E+01	7.96E-02	0.001
1.43E+01	7.77E-02	0.001
1.45E+01	7.77E-02	0.001
1.48E+01	7.55E-02	0.001
1.50E+01	7.41E-02	0.001
1.53E+01	7.32E-02	0.001
1.55E+01	7.20E-02	0.001
1.58E+01	7.01E-02	0.001

