		
t	y	erry
0	0.164	0.001
0.25	0.161	0.001
0.5	0.161	0.001
0.75	0.16	0.001
1.002	0.158	0.001
1.252	0.156	0.001
1.502	0.154	0.001
1.752	0.153	0.001
2.002	0.151	0.001
2.252	0.149	0.001
2.502	0.147	0.001
2.753	0.145	0.001
3.003	0.144	0.001
3.253	0.143	0.001
3.503	0.141	0.001
3.753	0.138	0.001
4.003	0.138	0.001
4.253	0.136	0.001
4.505	0.134	0.001
4.755	0.133	0.001
5.005	0.131	0.001
5.255	0.129	0.001
5.505	0.128	0.001
5.755	0.126	0.001
6.007	0.125	0.001
6.257	0.123	0.001
6.507	0.121	0.001
6.757	0.12	0.001
7.007	0.119	0.001
7.257	0.117	0.001
7.507	0.115	0.001
7.758	0.114	0.001
8.008	0.112	0.001
8.258	0.112	0.001
8.508	0.11	0.001
8.758	0.108	0.001
9.008	0.106	0.001
9.258	0.106	0.001
9.51	0.104	0.001
9.76	0.103	0.001
10.01	0.102	0.001
10.26	9.97E-02	0.001
10.51	9.89E-02	0.001
10.76	9.69E-02	0.001
11.01	9.59E-02	0.001
11.262	9.46E-02	0.001
11.512	9.37E-02	0.001
11.762	9.16E-02	0.001
12.012	9.07E-02	0.001
12.262	8.95E-02	0.001
12.512	8.82E-02	0.001
12.763	8.65E-02	0.001
13.013	8.48E-02	0.001
13.263	8.41E-02	0.001
13.513	8.33E-02	0.001
13.763	8.28E-02	0.001
14.013	8.03E-02	0.001
14.263	7.88E-02	0.001
14.515	7.73E-02	0.001
14.765	7.60E-02	0.001
15.015	7.50E-02	0.001
15.265	7.35E-02	0.001
15.515	7.24E-02	0.001
15.765	7.09E-02	0.001
16.015	6.98E-02	0.001
16.267	6.85E-02	0.001
16.517	6.75E-02	0.001
16.767	6.60E-02	0.001
17.017	6.41E-02	0.001
