x	y	erry
1.50E+00	1.63E-01	0.001
2.00E+00	1.62E-01	0.001
2.50E+00	1.61E-01	0.001
3.00E+00	1.60E-01	0.001
3.50E+00	1.60E-01	0.001
4.00E+00	1.59E-01	0.001
4.50E+00	1.58E-01	0.001
4.99E+00	1.58E-01	0.001
5.49E+00	1.56E-01	0.001
5.99E+00	1.55E-01	0.001
6.49E+00	1.54E-01	0.001
6.99E+00	1.53E-01	0.001
7.49E+00	1.52E-01	0.001
7.99E+00	1.52E-01	0.001
8.49E+00	1.51E-01	0.001
8.99E+00	1.50E-01	0.001
9.49E+00	1.49E-01	0.001
9.99E+00	1.48E-01	0.001
1.05E+01	1.47E-01	0.001
1.10E+01	1.47E-01	0.001
1.15E+01	1.46E-01	0.001
1.20E+01	1.45E-01	0.001
1.25E+01	1.44E-01	0.001
1.30E+01	1.43E-01	0.001
1.35E+01	1.42E-01	0.001
1.40E+01	1.41E-01	0.001
1.45E+01	1.41E-01	0.001
1.50E+01	1.41E-01	0.001
1.55E+01	1.40E-01	0.001
1.60E+01	1.40E-01	0.001
1.65E+01	1.38E-01	0.001
1.70E+01	1.37E-01	0.001
1.75E+01	1.37E-01	0.001
1.80E+01	1.36E-01	0.001
1.85E+01	1.35E-01	0.001
1.90E+01	1.34E-01	0.001
1.95E+01	1.34E-01	0.001
2.00E+01	1.33E-01	0.001
2.05E+01	1.31E-01	0.001
2.10E+01	1.31E-01	0.001
2.15E+01	1.31E-01	0.001
2.20E+01	1.30E-01	0.001
2.25E+01	1.29E-01	0.001
2.30E+01	1.29E-01	0.001
2.35E+01	1.28E-01	0.001
2.40E+01	1.27E-01	0.001
2.45E+01	1.26E-01	0.001
2.50E+01	1.26E-01	0.001
2.55E+01	1.25E-01	0.001
2.60E+01	1.24E-01	0.001
2.65E+01	1.23E-01	0.001
2.70E+01	1.23E-01	0.001
2.75E+01	1.22E-01	0.001
2.80E+01	1.21E-01	0.001
2.85E+01	1.21E-01	0.001
2.90E+01	1.20E-01	0.001
2.95E+01	1.19E-01	0.001
3.00E+01	1.18E-01	0.001
3.05E+01	1.18E-01	0.001
3.10E+01	1.17E-01	0.001
3.15E+01	1.17E-01	0.001
3.20E+01	1.16E-01	0.001
3.25E+01	1.15E-01	0.001
3.30E+01	1.15E-01	0.001
3.35E+01	1.14E-01	0.001
3.40E+01	1.14E-01	0.001
3.45E+01	1.13E-01	0.001
3.50E+01	1.12E-01	0.001
3.55E+01	1.10E-01	0.001
3.60E+01	1.10E-01	0.001
3.65E+01	1.10E-01	0.001
3.70E+01	1.09E-01	0.001
3.75E+01	1.08E-01	0.001
3.80E+01	1.07E-01	0.001
3.85E+01	1.07E-01	0.001
3.90E+01	1.06E-01	0.001
3.95E+01	1.05E-01	0.001
4.00E+01	1.05E-01	0.001
4.05E+01	1.04E-01	0.001
4.10E+01	1.04E-01	0.001
4.15E+01	1.04E-01	0.001
4.20E+01	1.03E-01	0.001
4.25E+01	1.02E-01	0.001
4.30E+01	1.02E-01	0.001
4.35E+01	1.01E-01	0.001
4.40E+01	1.00E-01	0.001
4.45E+01	1.00E-01	0.001
4.50E+01	9.90E-02	0.001
4.55E+01	9.83E-02	0.001
4.59E+01	9.77E-02	0.001
4.64E+01	9.72E-02	0.001
4.69E+01	9.64E-02	0.001
4.74E+01	9.53E-02	0.001
4.79E+01	9.47E-02	0.001
4.84E+01	9.38E-02	0.001
4.89E+01	9.34E-02	0.001
4.94E+01	9.25E-02	0.001
4.99E+01	9.21E-02	0.001
5.04E+01	9.15E-02	0.001
5.09E+01	9.08E-02	0.001
5.14E+01	9.08E-02	0.001
5.19E+01	9.04E-02	0.001
5.24E+01	8.98E-02	0.001
5.29E+01	8.91E-02	0.001
5.34E+01	8.87E-02	0.001
5.39E+01	8.72E-02	0.001
5.44E+01	8.63E-02	0.001
5.49E+01	8.57E-02	0.001
5.54E+01	8.52E-02	0.001
5.59E+01	8.52E-02	0.001
5.64E+01	8.48E-02	0.001
5.69E+01	8.42E-02	0.001
5.74E+01	8.38E-02	0.001
5.79E+01	8.31E-02	0.001
5.84E+01	8.25E-02	0.001
5.89E+01	8.16E-02	0.001
5.94E+01	8.10E-02	0.001
5.99E+01	8.03E-02	0.001
6.04E+01	7.97E-02	0.001
6.09E+01	7.90E-02	0.001
6.14E+01	7.84E-02	0.001
6.19E+01	7.80E-02	0.001
6.24E+01	7.73E-02	0.001
62.92	7.65E-02	0.001
63.42	7.60E-02	0.001
63.92	7.60E-02	0.001
64.42	7.50E-02	0.001
64.92	7.47E-02	0.001
65.42	7.37E-02	0.001
