x	y	erry
0.333	0.163	0.001
0.499	0.161	0.001
0.666	0.16	0.001
0.832	0.157	0.001
0.999	0.155	0.001
1.165	0.153	0.001
1.332	0.151	0.001
1.498	0.148	0.001
1.665	1.47E-01	0.001
1.831	1.45E-01	0.001
1.998	1.43E-01	0.001
2.164	1.41E-01	0.001
2.33	1.38E-01	0.001
2.497	0.137	0.001
2.663	0.136	0.001
2.83	0.135	0.001
2.996	0.133	0.001
3.163	0.13	0.001
3.329	0.128	0.001
3.496	0.126	0.001
3.662	0.124	0.001
3.829	0.122	0.001
3.995	0.12	0.001
4.162	0.119	0.001
4.328	0.119	0.001
4.494	0.117	0.001
4.661	0.115	0.001
4.827	0.113	0.001
4.994	0.11	0.001
5.16	0.11	0.001
5.327	0.108	0.001
5.493	0.106	0.001
5.66	0.104	0.001
5.826	0.102	0.001
5.993	0.101	0.001
6.159	9.87E-02	0.001
6.326	9.76E-02	0.001
6.492	9.59E-02	0.001
6.659	9.53E-02	0.001
6.825	9.26E-02	0.001
6.991	9.09E-02	0.001
7.158	8.98E-02	0.001
7.324	8.70E-02	0.001
7.491	8.59E-02	0.001
7.657	8.36E-02	0.001
7.824	8.20E-02	0.001
